id,parent_id,root
cqug90j,cqug2sr,cqug2sr
cqug90k,34fvry,34fvry
cqug90z,cqu80zb,cqu80zb
cqug91c,cqtdj4m,cqtdj4m
cqug91e,cquc4rc,cquc4rc
cqug920,34fyop,34fyop
cqug921,cqug6hk,cqug6hk
cqug923,cqug6r6,cqug6r6
cqug929,34gmo3,34gmo3
cqug92o,34glt0,34glt0
cqug92s,34ft7i,34ft7i
cqug92v,34ffo5,34ffo5
cqug937,34gmgb,34gmgb
cqug93k,cquau0o,cquau0o
cqug93o,cqubu8l,cqubu8l
cqug93u,cquad8v,cquad8v
cqug93v,cqud5wl,cqud5wl
cqug940,34gk6j,34gk6j
cqug94d,cquffk0,cquffk0
cqug94n,34glg2,34glg2
cqug94q,34ft7i,34ft7i
cqug94r,cqug00o,cqug00o
cqug94y,34gmrb,34gmrb
cqug956,cqu66nk,cqu66nk
cqug95f,34gmmd,34gmmd
cqug966,cqu12b9,cqu12b9
cqug96d,34g8nu,34g8nu
cqug972,34fkd2,34fkd2
cqug97g,cqufun6,cqufun6
cqug97r,34g9ba,34g9ba
cqug97t,34ffo5,34ffo5
cqug981,34ffhl,34ffhl
cqug984,cqufw48,cqufw48
cqug98t,34g8nu,34g8nu
cqug98u,cqueddw,cqueddw
cqug99a,34ffo5,34ffo5
cqug99m,34gmev,34gmev
cqug99q,cqudpc9,cqudpc9
cqug9ab,cquczhg,cquczhg
cqug9ac,cqufztv,cqufztv
cqug9ad,34gmug,34gmug
cqug9af,cqug87u,cqug87u
cqug9ai,cqu19ou,cqu19ou
cqug9an,cqu5icz,cqu5icz
cqug9bs,34dvbd,34dvbd
cqug9cb,cqu5s15,cqu5s15
cqug9cl,34glus,34glus
cqug9e2,cqu3t25,cqu3t25
cqug9eq,34gmug,34gmug
cqug9fj,34g8nu,34g8nu
cqug9fk,34gmug,34gmug
cqug9fz,34gmsa,34gmsa
cqug9g2,34f9rh,34f9rh
cqug9g3,34g8nu,34g8nu
cqug9g6,34gga7,34gga7
cqug9gt,cqu8s4l,cqu8s4l
cqug9h3,34ffo5,34ffo5
cqug9hp,cqug8m2,cqug8m2
cqug9ik,cquev82,cquev82
cqug9jn,cqug3mc,cqug3mc
cqug9jp,cqu3z09,cqu3z09
cqug9jq,cqug7bz,cqug7bz
cqug9js,cqufrwl,cqufrwl
cqug9kg,34ffo5,34ffo5
cqug9ki,cqueagk,cqueagk
cqug9km,cqu5xq5,cqu5xq5
cqug9lf,cqubic6,cqubic6
cqug9li,cqufeq2,cqufeq2
cqug9lp,cqudxnu,cqudxnu
cqug9ls,34g8nu,34g8nu
cqug9lw,cqug8pg,cqug8pg
cqug9lx,cqu23o5,cqu23o5
cqug9ly,34f4fj,34f4fj
cqug9lz,cqttfv6,cqttfv6
cqug9mj,cqu5ixs,cqu5ixs
cqug9mm,lnjol,lnjol
cqug9ni,34gikq,34gikq
cqug9nq,cqtvje9,cqtvje9
cqug9nv,34gha3,34gha3
cqug9o0,cqu56f5,cqu56f5
cqug9o5,34gmnk,34gmnk
cqug9o6,cqufyj6,cqufyj6
cqug9o7,cqufyw5,cqufyw5
cqug9og,cqubsh2,cqubsh2
cqug9oy,34ffo5,34ffo5
cqug9p5,cqu7oez,cqu7oez
cqug9pb,cque1rp,cque1rp
cqug9pt,34g8nu,34g8nu
cqug9q4,cqu7bjm,cqu7bjm
cqug9qq,cqug85o,cqug85o
cqug9qx,cqug0zv,cqug0zv
cqug9rh,cqtud38,cqtud38
cqug9ro,cqug6a6,cqug6a6
cqug9rt,cquezzf,cquezzf
cqug9ru,cqug39f,cqug39f
cqug9sd,cqu6bxw,cqu6bxw
cqug9sh,cqug7tg,cqug7tg
cqug9sj,cqu5978,cqu5978
cqug9sk,345kzv,345kzv
cqug9sp,34ffo5,34ffo5
cqug9sv,34gktp,34gktp
cqug9t4,cq90qln,cq90qln
cqug9t5,cqu9cwn,cqu9cwn
cqug9t6,cqtrsvd,cqtrsvd
cqug9u4,cqtzneu,cqtzneu
cqug9uh,34fvry,34fvry
cqug9va,34gc1q,34gc1q
cqug9vz,cqu53ey,cqu53ey
cqug9w3,cquduk2,cquduk2
cqug9w8,34ffo5,34ffo5
cqug9wo,cqug7jv,cqug7jv
cqug9wr,cqu4uhc,cqu4uhc
cqug9y1,34fsrh,34fsrh
cqug9y3,cqtdw61,cqtdw61
cqug9y6,cqu4uww,cqu4uww
cqug9y9,cque4ba,cque4ba
cqug9yo,34ggoh,34ggoh
cqug9yt,cqudq6z,cqudq6z
cqug9yu,cqudm89,cqudm89
cqug9yv,34gijr,34gijr
cqug9zj,cqudtnw,cqudtnw
cqug9zm,cquf7jp,cquf7jp
cqug9zn,34fsm2,34fsm2
cqug9zq,cqug6tp,cqug6tp
cquga03,34gmo3,34gmo3
cquga0c,cqufpth,cqufpth
cquga0n,34drvm,34drvm
cquga12,cque2yn,cque2yn
cquga1h,cquf7dt,cquf7dt
cquga1j,34ffo5,34ffo5
cquga2b,cqub7mq,cqub7mq
cquga2z,cquac8r,cquac8r
cquga38,cquf76m,cquf76m
cquga3e,34g42n,34g42n
cquga3h,34ffo5,34ffo5
cquga42,34gjax,34gjax
cquga4r,cqu8iot,cqu8iot
cquga4u,34gmo3,34gmo3
cquga55,cquej3j,cquej3j
cquga59,34gmsa,34gmsa
cquga5r,34ft7i,34ft7i
cquga5w,34gmug,34gmug
cquga5y,cqu5pcl,cqu5pcl
cquga6b,34gmsa,34gmsa
cquga6e,34ft7i,34ft7i
cquga6l,34ds4p,34ds4p
cquga6m,34gia0,34gia0
cquga6s,cqufdez,cqufdez
cquga6u,34g3x6,34g3x6
cquga71,34gmug,34gmug
cquga7q,cqu97pc,cqu97pc
cquga7v,cqufm2p,cqufm2p
cquga7w,34fvry,34fvry
cquga83,34f9kq,34f9kq
cquga88,34gm8a,34gm8a
cquga8i,cqug38j,cqug38j
cquga90,cqud8z9,cqud8z9
cquga9a,cqug923,cqug6r6
cquga9e,cqu5tbj,cqu5tbj
cquga9i,cqufw1j,cqufw1j
cquga9r,cqu6xs2,cqu6xs2
cquga9t,cqufu3j,cqufu3j
cquga9u,34gmfl,34gmfl
cquga9z,cqtqq6w,cqtqq6w
cqugaa6,cquffsq,cquffsq
cqugaaa,cqu9tt2,cqu9tt2
cqugabb,cqufsax,cqufsax
cqugabf,cqug0i5,cqug0i5
cqugabm,cqturz9,cqturz9
cqugac0,cqtsvvl,cqtsvvl
cqugacd,34fzud,34fzud
cqugacu,cqug921,cqug6hk
cqugacz,cqu91tl,cqu91tl
cqugad4,34douw,34douw
cqugad5,cqubxff,cqubxff
cqugad6,34ffo5,34ffo5
cqugada,cqug9sh,cqug7tg
cqugadh,34dvbd,34dvbd
cqugadi,cqudcg5,cqudcg5
cqugae2,34gmv6,34gmv6
cqugae8,cqug3p9,cqug3p9
cqugae9,cqufw4w,cqufw4w
cqugaeh,cqudihe,cqudihe
cqugaep,cqufet1,cqufet1
cqugaeu,34ffo5,34ffo5
cqugaf3,cqtpme7,cqtpme7
cqugaf9,34g8nu,34g8nu
cqugaff,cqubwv9,cqubwv9
cqugafn,cqu8epb,cqu8epb
cqugag2,34ds4p,34ds4p
cqugagj,cqufuqc,cqufuqc
cqugagq,cqudluw,cqudluw
cqugagv,34glpr,34glpr
cqugagy,cqug54b,cqug54b
cqugahc,cqtsxvh,cqtsxvh
cqugahd,34ffhl,34ffhl
cqugahf,cqufh8n,cqufh8n
cqugahx,cqu4xsr,cqu4xsr
cqugai0,34gmrb,34gmrb
cqugaij,cqudka0,cqudka0
cqugaj6,cquf5bg,cquf5bg
cqugak9,cqu6wif,cqu6wif
cqugakn,34drvm,34drvm
cqugakr,34gijr,34gijr
cqugalg,34gm1b,34gm1b
cqugalj,cqu2v3v,cqu2v3v
cqugam1,cquavoj,cquavoj
cqugamd,cqug7bf,cqug7bf
cqugami,34g7ou,34g7ou
cqugamz,cquaz6y,cquaz6y
cqugan0,34gmed,34gmed
cqugan3,34ffo5,34ffo5
cquganz,cqu5xf6,cqu5xf6
cqugao3,cqsqq9j,cqsqq9j
cqugaoq,34ffo5,34ffo5
cqugaot,34ffo5,34ffo5
cqugaov,cqtug7s,cqtug7s
cqugap2,cqu66nk,cqu66nk
cqugap8,cqu9exx,cqu9exx
cqugapa,cqug8s8,cqug8s8
cqugaq0,cqts4y5,cqts4y5
cqugaqc,34gmrb,34gmrb
cqugaqv,cquezh4,cquezh4
cqugara,cqtujag,cqtujag
cqugarg,cqualng,cqualng
cqugarj,34glg2,34glg2
cqugary,cqu4jby,cqu4jby
cqugas9,cqubl0t,cqubl0t
cqugasj,34ffo5,34ffo5
cqugast,cqudcg5,cqudcg5
cqugasy,34gmev,34gmev
cqugat3,34gku4,34gku4
cqugat8,34gj8f,34gj8f
cqugata,cqudcqk,cqudcqk
cqugau3,cqufsax,cqufsax
cqugaug,cqu5s15,cqu5s15
cqugauj,cqugada,cqug7tg
cqugavl,cqug9af,cqug87u
cqugavy,cqu9t42,cqu9t42
cqugawb,cqu3092,cqu3092
cqugawp,34ft7i,34ft7i
cqugaxl,cqtvn89,cqtvn89
cqugaxt,cqug9af,cqug87u
cqugaxw,cqubrsm,cqubrsm
cqugayb,cqued2n,cqued2n
cqugayf,34fmrc,34fmrc
cqugazn,34ffhl,34ffhl
cqugazq,34ft7i,34ft7i
cqugazv,34gmys,34gmys
cqugazz,cqts3fo,cqts3fo
cqugb0k,34gh94,34gh94
cqugb0t,cqufnm3,cqufnm3
cqugb0v,34ft7i,34ft7i
cqugb1t,34gmmd,34gmmd
cqugb29,34gh94,34gh94
cqugb2t,cqu91bk,cqu91bk
cqugb2v,cqug9zq,cqug6tp
cqugb32,34gjld,34gjld
cqugb34,cqug00o,cqug00o
cqugb4g,cqu0uph,cqu0uph
cqugb4j,cqug5fw,cqug5fw
cqugb4q,cqu8wtz,cqu8wtz
cqugb4z,cquga9a,cqug6r6
cqugb5f,cqudst6,cqudst6
cqugb5x,34glon,34glon
cqugb6i,cqudrvf,cqudrvf
cqugb6k,34ft7i,34ft7i
cqugb6s,cqubg30,cqubg30
cqugb6z,34gmug,34gmug
cqugb79,34gmv6,34gmv6
cqugb7b,34gete,34gete
cqugb7n,34gm0l,34gm0l
cqugb7x,34f8z7,34f8z7
cqugb7y,cqufzns,cqufzns
cqugb89,34ffhl,34ffhl
cqugb8i,cqug7bs,cqug7bs
cqugb8p,34ffhl,34ffhl
cqugb92,cqufup2,cqufup2
cqugb9u,34gn25,34gn25
cqugba5,34ffhl,34ffhl
cqugbae,cqub7mq,cqub7mq
cqugbal,cqufvd1,cqufvd1
cqugbao,34g8nu,34g8nu
cqugbas,34gmv3,34gmv3
cqugbb3,cqt25s0,cqt25s0
